# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
3.365116e+01	1.067329e-25
3.372873e+01	1.073877e-25
3.380648e+01	1.080444e-25
3.388442e+01	1.086207e-25
3.396253e+01	1.092811e-25
3.404082e+01	1.099435e-25
3.411929e+01	1.106078e-25
3.419794e+01	1.112741e-25
3.427678e+01	1.119423e-25
3.435579e+01	1.126125e-25
3.443499e+01	1.132006e-25
3.451437e+01	1.138744e-25
3.459394e+01	1.145502e-25
3.467369e+01	1.152279e-25
3.475362e+01	1.159076e-25
3.483373e+01	1.165892e-25
3.491403e+01	1.172728e-25
3.499452e+01	1.179582e-25
3.507519e+01	1.187317e-25
3.515604e+01	1.194212e-25
3.523709e+01	1.201127e-25
3.531832e+01	1.208061e-25
3.539973e+01	1.215014e-25
3.548134e+01	1.221987e-25
3.556313e+01	1.228978e-25
3.564511e+01	1.236866e-25
3.572728e+01	1.243898e-25
3.580964e+01	1.250949e-25
3.589219e+01	1.258018e-25
3.597493e+01	1.265107e-25
3.605786e+01	1.273105e-25
3.614099e+01	1.280233e-25
3.622430e+01	1.287381e-25
3.630781e+01	1.295445e-25
3.639150e+01	1.302632e-25
3.647539e+01	1.310741e-25
3.655948e+01	1.317968e-25
3.664376e+01	1.325214e-25
3.672823e+01	1.333389e-25
3.681290e+01	1.340675e-25
3.689776e+01	1.348893e-25
3.698282e+01	1.356218e-25
3.706807e+01	1.364481e-25
3.715352e+01	1.371846e-25
3.723917e+01	1.380153e-25
3.732502e+01	1.388484e-25
3.741106e+01	1.395908e-25
3.749730e+01	1.404282e-25
3.758374e+01	1.411746e-25
3.767038e+01	1.420164e-25
3.775722e+01	1.428605e-25
3.784426e+01	1.436128e-25
3.793150e+01	1.444612e-25
3.801894e+01	1.453120e-25
3.810658e+01	1.461651e-25
3.819443e+01	1.469252e-25
3.828247e+01	1.477826e-25
3.837072e+01	1.486423e-25
3.845918e+01	1.495042e-25
3.854784e+01	1.503684e-25
3.863670e+01	1.512348e-25
3.872576e+01	1.521035e-25
3.881504e+01	1.529745e-25
3.890451e+01	1.537506e-25
3.899420e+01	1.546258e-25
3.908409e+01	1.555032e-25
3.917419e+01	1.563829e-25
3.926449e+01	1.572648e-25
3.935501e+01	1.582473e-25
3.944573e+01	1.591339e-25
3.953666e+01	1.600227e-25
3.962780e+01	1.609137e-25
3.971915e+01	1.618069e-25
3.981072e+01	1.627024e-25
3.990249e+01	1.636000e-25
3.999447e+01	1.644998e-25
4.008667e+01	1.655021e-25
4.017908e+01	1.664065e-25
4.027170e+01	1.673131e-25
4.036454e+01	1.682218e-25
4.045759e+01	1.692341e-25
4.055085e+01	1.701474e-25
4.064433e+01	1.710628e-25
4.073803e+01	1.720825e-25
4.083194e+01	1.730025e-25
4.092607e+01	1.740272e-25
4.102041e+01	1.749517e-25
4.111497e+01	1.758783e-25
4.120975e+01	1.769103e-25
4.130475e+01	1.778414e-25
4.139997e+01	1.788784e-25
4.149540e+01	1.799180e-25
4.159106e+01	1.808558e-25
4.168694e+01	1.819003e-25
4.178304e+01	1.828426e-25
4.187936e+01	1.838920e-25
4.197590e+01	1.849439e-25
4.207266e+01	1.858929e-25
4.216965e+01	1.869496e-25
4.226686e+01	1.880090e-25
4.236430e+01	1.889645e-25
4.246196e+01	1.900287e-25
4.255984e+01	1.910953e-25
4.265795e+01	1.921645e-25
4.275629e+01	1.932361e-25
4.285485e+01	1.942028e-25
4.295364e+01	1.952792e-25
4.305266e+01	1.963581e-25
4.315191e+01	1.974394e-25
4.325138e+01	1.985232e-25
4.335109e+01	1.996095e-25
4.345102e+01	2.006983e-25
4.355119e+01	2.017894e-25
4.365158e+01	2.028831e-25
4.375221e+01	2.039791e-25
4.385307e+01	2.050776e-25
4.395416e+01	2.061784e-25
4.405549e+01	2.073922e-25
4.415704e+01	2.084981e-25
4.425884e+01	2.096064e-25
4.436086e+01	2.107171e-25
4.446313e+01	2.118302e-25
4.456562e+01	2.130573e-25
4.466836e+01	2.141753e-25
4.477133e+01	2.152957e-25
4.487454e+01	2.164184e-25
4.497799e+01	2.176562e-25
4.508167e+01	2.187838e-25
4.518559e+01	2.200268e-25
4.528976e+01	2.211594e-25
4.539416e+01	2.222941e-25
4.549881e+01	2.235451e-25
4.560369e+01	2.246847e-25
4.570882e+01	2.259409e-25
4.581419e+01	2.270853e-25
4.591980e+01	2.283467e-25
4.602566e+01	2.296109e-25
4.613176e+01	2.307626e-25
4.623810e+01	2.320320e-25
4.634469e+01	2.331882e-25
4.645153e+01	2.344628e-25
4.655861e+01	2.357400e-25
4.666594e+01	2.370198e-25
4.677351e+01	2.381857e-25
4.688134e+01	2.394706e-25
4.698941e+01	2.407582e-25
4.709773e+01	2.420484e-25
4.720630e+01	2.433412e-25
4.731513e+01	2.446367e-25
4.742420e+01	2.458166e-25
4.753352e+01	2.471170e-25
4.764310e+01	2.484200e-25
4.775293e+01	2.497256e-25
4.786301e+01	2.510337e-25
4.797334e+01	2.523444e-25
4.808393e+01	2.536576e-25
4.819478e+01	2.549733e-25
4.830588e+01	2.564116e-25
4.841724e+01	2.577325e-25
4.852885e+01	2.590560e-25
4.864072e+01	2.603820e-25
4.875285e+01	2.617105e-25
4.886524e+01	2.631625e-25
4.897788e+01	2.644962e-25
4.909079e+01	2.658323e-25
4.920395e+01	2.671708e-25
4.931738e+01	2.686337e-25
4.943107e+01	2.699773e-25
4.954502e+01	2.714457e-25
4.965923e+01	2.727943e-25
4.977371e+01	2.741453e-25
4.988845e+01	2.756218e-25
5.000345e+01	2.769778e-25
5.011872e+01	2.784489e-25
5.023426e+01	2.797998e-25
5.035006e+01	2.812762e-25
5.046613e+01	2.827554e-25
5.058247e+01	2.841136e-25
5.069907e+01	2.855979e-25
5.081594e+01	2.870849e-25
5.093309e+01	2.884503e-25
5.105050e+01	2.899423e-25
5.116818e+01	2.914371e-25
5.128614e+01	2.929345e-25
5.140437e+01	2.943094e-25
5.152286e+01	2.958118e-25
5.164164e+01	2.973167e-25
5.176068e+01	2.988243e-25
5.188000e+01	3.003345e-25
5.199960e+01	3.018472e-25
5.211947e+01	3.033624e-25
5.223962e+01	3.048802e-25
5.236004e+01	3.064006e-25
5.248075e+01	3.079234e-25
5.260173e+01	3.094487e-25
5.272299e+01	3.109765e-25
5.284453e+01	3.125068e-25
5.296634e+01	3.141674e-25
5.308844e+01	3.157029e-25
5.321083e+01	3.172407e-25
5.333349e+01	3.187810e-25
5.345644e+01	3.204523e-25
5.357967e+01	3.219977e-25
5.370318e+01	3.235453e-25
5.382698e+01	3.252247e-25
5.395106e+01	3.267773e-25
5.407543e+01	3.284619e-25
5.420009e+01	3.300194e-25
5.432503e+01	3.317094e-25
5.445027e+01	3.332717e-25
5.457579e+01	3.349668e-25
5.470160e+01	3.365339e-25
5.482770e+01	3.382342e-25
5.495409e+01	3.398060e-25
5.508077e+01	3.415114e-25
5.520774e+01	3.432194e-25
5.533501e+01	3.449300e-25
5.546257e+01	3.465113e-25
