# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
2.792544e+01	2.318633e-26
2.798981e+01	2.331140e-26
2.805434e+01	2.343708e-26
2.811901e+01	2.358447e-26
2.818383e+01	2.371147e-26
2.824880e+01	2.386040e-26
2.831392e+01	2.398871e-26
2.837919e+01	2.413918e-26
2.844461e+01	2.426882e-26
2.851018e+01	2.442084e-26
2.857591e+01	2.457368e-26
2.864178e+01	2.470535e-26
2.870781e+01	2.485974e-26
2.877398e+01	2.499274e-26
2.884032e+01	2.514867e-26
2.890680e+01	2.530544e-26
2.897344e+01	2.544048e-26
2.904023e+01	2.559880e-26
2.910717e+01	2.575795e-26
2.917427e+01	2.589503e-26
2.924152e+01	2.605574e-26
2.930893e+01	2.621727e-26
2.937650e+01	2.637965e-26
2.944422e+01	2.651950e-26
2.951209e+01	2.668343e-26
2.958012e+01	2.684819e-26
2.964831e+01	2.701379e-26
2.971666e+01	2.718023e-26
2.978516e+01	2.734751e-26
2.985383e+01	2.749156e-26
2.992265e+01	2.766038e-26
2.999163e+01	2.783005e-26
3.006076e+01	2.800055e-26
3.013006e+01	2.817189e-26
3.019952e+01	2.834408e-26
3.026913e+01	2.851709e-26
3.033891e+01	2.869094e-26
3.040885e+01	2.886563e-26
3.047895e+01	2.904115e-26
3.054921e+01	2.921752e-26
3.061963e+01	2.939472e-26
3.069022e+01	2.957275e-26
3.076097e+01	2.975162e-26
3.083188e+01	2.993132e-26
3.090295e+01	3.011186e-26
3.097419e+01	3.029323e-26
3.104560e+01	3.050154e-26
3.111716e+01	3.068471e-26
3.118890e+01	3.086871e-26
3.126079e+01	3.105353e-26
3.133286e+01	3.123919e-26
3.140509e+01	3.145240e-26
3.147748e+01	3.163984e-26
3.155005e+01	3.182812e-26
3.162278e+01	3.201723e-26
3.169567e+01	3.223437e-26
3.176874e+01	3.242525e-26
3.184198e+01	3.261697e-26
3.191538e+01	3.283708e-26
3.198895e+01	3.303057e-26
3.206269e+01	3.322488e-26
3.213661e+01	3.344796e-26
3.221069e+01	3.364405e-26
3.228494e+01	3.384096e-26
3.235937e+01	3.406701e-26
3.243396e+01	3.426568e-26
3.250873e+01	3.449374e-26
3.258367e+01	3.469418e-26
3.265878e+01	3.492425e-26
3.273407e+01	3.512643e-26
3.280953e+01	3.535852e-26
3.288516e+01	3.559166e-26
3.296097e+01	3.579653e-26
3.303695e+01	3.603167e-26
3.311311e+01	3.623829e-26
3.318945e+01	3.647542e-26
3.326596e+01	3.671362e-26
3.334264e+01	3.692291e-26
3.341950e+01	3.716309e-26
3.349654e+01	3.740433e-26
3.357376e+01	3.761627e-26
3.365116e+01	3.785949e-26
3.372873e+01	3.810375e-26
3.380648e+01	3.834906e-26
3.388442e+01	3.856456e-26
3.396253e+01	3.881183e-26
3.404082e+01	3.906016e-26
3.411929e+01	3.930951e-26
3.419794e+01	3.955992e-26
3.427678e+01	3.981135e-26
3.435579e+01	4.006383e-26
3.443499e+01	4.028560e-26
3.451437e+01	4.054001e-26
3.459394e+01	4.079546e-26
3.467369e+01	4.105193e-26
3.475362e+01	4.130943e-26
3.483373e+01	4.156796e-26
3.491403e+01	4.182751e-26
3.499452e+01	4.208808e-26
3.507519e+01	4.238244e-26
3.515604e+01	4.264516e-26
3.523709e+01	4.290891e-26
3.531832e+01	4.317366e-26
3.539973e+01	4.343943e-26
3.548134e+01	4.370619e-26
3.556313e+01	4.397397e-26
3.564511e+01	4.427642e-26
3.572728e+01	4.454631e-26
3.580964e+01	4.481722e-26
3.589219e+01	4.508910e-26
3.597493e+01	4.536199e-26
3.605786e+01	4.567017e-26
3.614099e+01	4.594514e-26
3.622430e+01	4.622112e-26
3.630781e+01	4.653276e-26
3.639150e+01	4.681080e-26
3.647539e+01	4.712478e-26
3.655948e+01	4.740490e-26
3.664376e+01	4.768599e-26
3.672823e+01	4.800338e-26
3.681290e+01	4.828653e-26
3.689776e+01	4.860622e-26
3.698282e+01	4.889140e-26
3.706807e+01	4.921338e-26
3.715352e+01	4.950061e-26
3.723917e+01	4.982486e-26
3.732502e+01	5.015032e-26
3.741106e+01	5.044061e-26
3.749730e+01	5.076832e-26
3.758374e+01	5.106062e-26
3.767038e+01	5.139055e-26
3.775722e+01	5.172168e-26
3.784426e+01	5.201702e-26
3.793150e+01	5.235036e-26
3.801894e+01	5.268488e-26
3.810658e+01	5.302055e-26
3.819443e+01	5.331990e-26
3.828247e+01	5.365777e-26
3.837072e+01	5.399678e-26
3.845918e+01	5.433694e-26
3.854784e+01	5.467825e-26
3.863670e+01	5.502069e-26
3.872576e+01	5.536427e-26
3.881504e+01	5.570898e-26
3.890451e+01	5.601634e-26
3.899420e+01	5.636317e-26
3.908409e+01	5.671112e-26
3.917419e+01	5.706015e-26
3.926449e+01	5.741032e-26
3.935501e+01	5.780070e-26
3.944573e+01	5.815319e-26
3.953666e+01	5.850678e-26
3.962780e+01	5.886145e-26
3.971915e+01	5.921721e-26
3.981072e+01	5.957405e-26
3.990249e+01	5.993197e-26
3.999447e+01	6.029095e-26
4.008667e+01	6.069107e-26
4.017908e+01	6.105230e-26
4.027170e+01	6.141459e-26
4.036454e+01	6.177793e-26
4.045759e+01	6.218286e-26
4.055085e+01	6.254840e-26
4.064433e+01	6.291499e-26
4.073803e+01	6.332352e-26
4.083194e+01	6.369227e-26
4.092607e+01	6.410319e-26
4.102041e+01	6.447410e-26
4.111497e+01	6.484602e-26
4.120975e+01	6.526044e-26
4.130475e+01	6.563448e-26
4.139997e+01	6.605127e-26
4.149540e+01	6.646925e-26
4.159106e+01	6.684650e-26
4.168694e+01	6.726678e-26
4.178304e+01	6.764609e-26
4.187936e+01	6.806869e-26
4.197590e+01	6.849247e-26
4.207266e+01	6.887488e-26
4.216965e+01	6.930090e-26
4.226686e+01	6.972812e-26
4.236430e+01	7.011360e-26
4.246196e+01	7.054300e-26
4.255984e+01	7.097357e-26
4.265795e+01	7.140528e-26
