# T (K)	Lambda=e_dot/nH^2 (erg cm^3 s^-1)
5.093309e+01	2.068658e-25
5.105050e+01	2.080560e-25
5.116818e+01	2.092480e-25
5.128614e+01	2.104416e-25
5.140437e+01	2.115373e-25
5.152286e+01	2.127341e-25
5.164164e+01	2.139325e-25
5.176068e+01	2.151326e-25
5.188000e+01	2.163343e-25
5.199960e+01	2.175375e-25
5.211947e+01	2.187423e-25
5.223962e+01	2.199487e-25
5.236004e+01	2.211565e-25
5.248075e+01	2.223658e-25
5.260173e+01	2.235766e-25
5.272299e+01	2.247888e-25
5.284453e+01	2.260025e-25
5.296634e+01	2.273189e-25
5.308844e+01	2.285355e-25
5.321083e+01	2.297535e-25
5.333349e+01	2.309728e-25
5.345644e+01	2.322953e-25
5.357967e+01	2.335174e-25
5.370318e+01	2.347407e-25
5.382698e+01	2.360675e-25
5.395106e+01	2.372935e-25
5.407543e+01	2.386231e-25
5.420009e+01	2.398516e-25
5.432503e+01	2.411840e-25
5.445027e+01	2.424150e-25
5.457579e+01	2.437499e-25
5.470160e+01	2.449833e-25
5.482770e+01	2.463209e-25
5.495409e+01	2.475566e-25
5.508077e+01	2.488966e-25
5.520774e+01	2.502377e-25
5.533501e+01	2.515802e-25
5.546257e+01	2.528204e-25
5.559043e+01	2.541651e-25
5.571857e+01	2.555110e-25
5.584702e+01	2.568580e-25
5.597576e+01	2.582062e-25
5.610480e+01	2.594516e-25
5.623413e+01	2.608018e-25
5.636377e+01	2.621531e-25
5.649370e+01	2.635055e-25
5.662393e+01	2.648588e-25
5.675446e+01	2.662131e-25
5.688529e+01	2.676727e-25
5.701643e+01	2.690290e-25
5.714786e+01	2.703863e-25
5.727960e+01	2.717444e-25
5.741165e+01	2.731035e-25
5.754399e+01	2.744634e-25
5.767665e+01	2.759289e-25
5.780960e+01	2.772905e-25
5.794287e+01	2.786529e-25
5.807644e+01	2.801211e-25
5.821032e+01	2.814852e-25
5.834451e+01	2.828500e-25
5.847901e+01	2.843206e-25
5.861382e+01	2.856869e-25
5.874894e+01	2.871591e-25
5.888437e+01	2.885268e-25
5.902011e+01	2.900004e-25
5.915616e+01	2.914748e-25
5.929253e+01	2.928445e-25
5.942922e+01	2.943202e-25
5.956621e+01	2.957966e-25
5.970353e+01	2.971681e-25
5.984116e+01	2.986456e-25
5.997911e+01	3.001238e-25
6.011737e+01	3.016026e-25
6.025596e+01	3.030819e-25
6.039486e+01	3.044560e-25
6.053409e+01	3.059364e-25
6.067363e+01	3.074172e-25
6.081350e+01	3.088985e-25
6.095369e+01	3.103803e-25
6.109420e+01	3.118624e-25
6.123504e+01	3.134510e-25
6.137620e+01	3.149340e-25
6.151769e+01	3.164173e-25
6.165950e+01	3.179011e-25
6.180164e+01	3.193851e-25
6.194411e+01	3.208694e-25
6.208690e+01	3.224602e-25
6.223003e+01	3.239451e-25
6.237348e+01	3.254303e-25
6.251727e+01	3.270219e-25
6.266139e+01	3.285075e-25
6.280584e+01	3.300995e-25
6.295062e+01	3.315856e-25
6.309573e+01	3.331779e-25
6.324119e+01	3.346643e-25
6.338697e+01	3.362569e-25
6.353309e+01	3.377435e-25
6.367955e+01	3.393364e-25
6.382635e+01	3.409293e-25
6.397348e+01	3.424161e-25
6.412096e+01	3.440091e-25
6.426877e+01	3.456021e-25
6.441693e+01	3.471952e-25
6.456542e+01	3.487882e-25
6.471426e+01	3.502749e-25
6.486344e+01	3.518679e-25
6.501297e+01	3.534607e-25
6.516284e+01	3.550535e-25
6.531306e+01	3.566460e-25
6.546362e+01	3.582385e-25
6.561453e+01	3.598308e-25
6.576578e+01	3.615290e-25
6.591739e+01	3.631210e-25
6.606934e+01	3.647127e-25
6.622165e+01	3.663042e-25
6.637431e+01	3.678955e-25
6.652732e+01	3.695925e-25
6.668068e+01	3.711832e-25
6.683439e+01	3.727736e-25
6.698846e+01	3.744696e-25
6.714289e+01	3.760594e-25
6.729767e+01	3.777547e-25
6.745280e+01	3.793436e-25
6.760830e+01	3.810381e-25
6.776415e+01	3.826263e-25
6.792036e+01	3.843198e-25
6.807694e+01	3.860130e-25
6.823387e+01	3.875999e-25
6.839116e+01	3.892919e-25
6.854882e+01	3.909836e-25
6.870684e+01	3.926745e-25
6.886523e+01	3.943650e-25
6.902398e+01	3.959492e-25
6.918310e+01	3.976385e-25
6.934258e+01	3.993271e-25
6.950243e+01	4.010152e-25
6.966265e+01	4.027025e-25
6.982324e+01	4.043892e-25
6.998420e+01	4.060752e-25
7.014553e+01	4.078658e-25
7.030723e+01	4.095503e-25
7.046931e+01	4.112341e-25
7.063176e+01	4.129172e-25
7.079458e+01	4.145995e-25
7.095778e+01	4.163860e-25
7.112135e+01	4.180667e-25
7.128530e+01	4.198516e-25
7.144963e+01	4.215305e-25
7.161434e+01	4.232087e-25
7.177943e+01	4.249909e-25
7.194490e+01	4.266673e-25
7.211075e+01	4.284475e-25
7.227698e+01	4.302267e-25
7.244360e+01	4.319004e-25
7.261060e+01	4.336776e-25
7.277798e+01	4.354539e-25
7.294575e+01	4.372290e-25
