# log10(T[K])  Vol_PDF  Mass_PDF  Diff_emm  Den_pdf
5.088532924652099609e+00 3.782877835037189163e-02 8.032494897879854934e-02 3.307469105084701044e-01 1.599741267994020735e-02
5.094552040100097656e+00 3.481355356025492981e-02 8.147031013982833358e-02 3.195005407153176935e-01 1.465763403958439404e-02
5.100571632385253906e+00 3.438996401420023330e-02 7.491027708741548885e-02 2.905337501665798405e-01 1.372824643861725140e-02
5.106591224670410156e+00 3.155175589719737966e-02 7.954775382938868156e-02 3.786898838934823486e-01 1.823222391065097009e-02
5.112610340118408203e+00 3.327404360597473881e-02 8.346786018861380996e-02 4.223734338193412818e-01 1.835921403971470592e-02
5.118629455566406250e+00 3.557897592277298876e-02 8.042883319849224166e-02 3.030287673310279040e-01 1.480512712522006821e-02
5.124649047851562500e+00 3.419711015591549164e-02 8.214898720368193907e-02 4.401254260842663579e-01 1.984166808720605815e-02
5.130668640136718750e+00 3.938072845622701823e-02 8.688433835273527694e-02 3.690135480125958378e-01 1.614274696418071392e-02
5.136687755584716797e+00 4.168632377848036780e-02 8.064979295647757562e-02 2.765958948416908370e-01 1.388723113219242182e-02
5.142706871032714844e+00 4.192975147179697770e-02 8.785650667945335557e-02 3.976106446687767693e-01 1.840234671640100100e-02
5.148726463317871094e+00 4.119231340097245092e-02 8.534222894707749196e-02 3.140714963651039526e-01 1.399843668914038664e-02
5.154746055603027344e+00 4.815717861555069562e-02 8.800368137318533013e-02 3.454883211583744118e-01 1.719578468813146715e-02
5.160765171051025391e+00 4.502023335067416310e-02 8.934608049281406172e-02 3.620417861557159167e-01 1.807018404832636677e-02
5.166784286499023438e+00 4.272564008986064893e-02 8.753765604143311230e-02 3.400000498588399145e-01 1.638276008700058697e-02
5.172803878784179688e+00 5.171053689069437381e-02 8.914317010405063690e-02 3.451834317040583522e-01 1.651908727523787937e-02
5.178823471069335938e+00 4.551742709450628394e-02 9.064923104175710844e-02 4.092420071616236221e-01 1.952755176691088959e-02
5.184842586517333984e+00 4.975455298082592098e-02 9.737462006369000667e-02 4.233541387142495949e-01 1.890844561194801252e-02
5.190861701965332031e+00 6.026161572589967819e-02 9.711370698331167617e-02 3.360566042122257180e-01 1.580131306385757287e-02
5.196881294250488281e+00 5.302213641456107740e-02 9.307483563627790002e-02 3.560190574404012986e-01 1.539414599544629454e-02
5.202900886535644531e+00 5.832680370924819141e-02 9.719717537779713756e-02 3.813697635106265138e-01 1.812076470421642577e-02
5.208920001983642578e+00 5.397928726821996093e-02 9.242700202176819257e-02 3.332698027324444978e-01 1.567098230200365816e-02
5.214939117431640625e+00 5.886125006030352991e-02 9.758556282940124282e-02 3.667293748471952552e-01 1.564677675532133092e-02
5.220958709716796875e+00 6.001668264938083558e-02 9.604794195198515516e-02 3.134648749747038221e-01 1.293528398162674224e-02
5.226978302001953125e+00 6.503105347266603664e-02 1.030395303755195918e-01 3.076865068410178927e-01 1.428882379291402868e-02
5.232997417449951172e+00 5.795204580731663085e-02 9.089373291516704423e-02 2.976090614382775890e-01 1.358229924396187754e-02
5.239016532897949219e+00 6.512381089232494036e-02 1.052609593674543459e-01 4.108046515580742186e-01 1.729726749169967562e-02
